Unnamed: 0;Datum;Umsatz;Bewoelkung;Temperatur;Windgeschwindigkeit;Wettercode;KielerWoche;Warengruppe;id;Wochentag;temp_category;temp_rolling_7d;wettercode_agg;is_holiday
0;2013-07-01;148.828353112183;6.0;17.8375;15.0;20.0;-999.0;1.0;1307011.0;0;medium;14.469642857142857;2;0
1;2013-07-01;535.856284785361;6.0;17.8375;15.0;20.0;-999.0;2.0;1307012.0;0;medium;14.469642857142857;2;0
2;2013-07-01;201.198425690037;6.0;17.8375;15.0;20.0;-999.0;3.0;1307013.0;0;medium;14.469642857142857;2;0
3;2013-07-01;65.890168799361;6.0;17.8375;15.0;20.0;-999.0;4.0;1307014.0;0;medium;14.469642857142857;2;0
4;2013-07-01;317.475874933038;6.0;17.8375;15.0;20.0;-999.0;5.0;1307015.0;0;medium;14.469642857142857;2;0
5;2013-07-02;159.79375714468;3.0;17.3125;10.0;-999.0;-999.0;1.0;1307021.0;1;medium;14.775000000000002;-999;0
6;2013-07-02;546.780787392297;3.0;17.3125;10.0;-999.0;-999.0;2.0;1307022.0;1;medium;14.775000000000002;-999;0
7;2013-07-02;265.261253994438;3.0;17.3125;10.0;-999.0;-999.0;3.0;1307023.0;1;medium;14.775000000000002;-999;0
8;2013-07-02;74.5439171827412;3.0;17.3125;10.0;-999.0;-999.0;4.0;1307024.0;1;medium;14.775000000000002;-999;0
9;2013-07-02;383.628681612577;3.0;17.3125;10.0;-999.0;-999.0;5.0;1307025.0;1;medium;14.775000000000002;-999;0
10;2013-07-03;111.885593514353;7.0;21.075;6.0;61.0;-999.0;1.0;1307031.0;2;medium;15.810714285714285;3;0
11;2013-07-03;427.343258749983;7.0;21.075;6.0;61.0;-999.0;2.0;1307032.0;2;medium;15.810714285714285;3;0
12;2013-07-03;210.260241465493;7.0;21.075;6.0;61.0;-999.0;3.0;1307033.0;2;medium;15.810714285714285;3;0
13;2013-07-03;69.2627280649987;7.0;21.075;6.0;61.0;-999.0;4.0;1307034.0;2;medium;15.810714285714285;3;0
14;2013-07-03;305.523072325318;7.0;21.075;6.0;61.0;-999.0;5.0;1307035.0;2;medium;15.810714285714285;3;0
15;2013-07-04;168.864940979931;7.0;18.85;7.0;20.0;-999.0;1.0;1307041.0;3;medium;16.710714285714285;2;0
16;2013-07-04;454.859641347987;7.0;18.85;7.0;20.0;-999.0;2.0;1307042.0;3;medium;16.710714285714285;2;0
17;2013-07-04;190.686641378586;7.0;18.85;7.0;20.0;-999.0;3.0;1307043.0;3;medium;16.710714285714285;2;0
18;2013-07-04;61.490175369225;7.0;18.85;7.0;20.0;-999.0;4.0;1307044.0;3;medium;16.710714285714285;2;0
19;2013-07-04;308.408167942149;7.0;18.85;7.0;20.0;-999.0;5.0;1307045.0;3;medium;16.710714285714285;2;0
20;2013-07-05;171.280754117955;5.0;19.975;12.0;-999.0;-999.0;1.0;1307051.0;4;medium;17.7;-999;0
21;2013-07-05;492.818804066088;5.0;19.975;12.0;-999.0;-999.0;2.0;1307052.0;4;medium;17.7;-999;0
22;2013-07-05;181.644870215041;5.0;19.975;12.0;-999.0;-999.0;3.0;1307053.0;4;medium;17.7;-999;0
23;2013-07-05;86.7598614451924;5.0;19.975;12.0;-999.0;-999.0;4.0;1307054.0;4;medium;17.7;-999;0
24;2013-07-05;355.518770367742;5.0;19.975;12.0;-999.0;-999.0;5.0;1307055.0;4;medium;17.7;-999;0
25;2013-07-06;174.552359998476;0.0;18.9625;8.0;-999.0;-999.0;1.0;1307061.0;5;medium;18.289285714285715;-999;0
26;2013-07-06;631.906068038484;0.0;18.9625;8.0;-999.0;-999.0;2.0;1307062.0;5;medium;18.289285714285715;-999;0
27;2013-07-06;291.557959835153;0.0;18.9625;8.0;-999.0;-999.0;3.0;1307063.0;5;medium;18.289285714285715;-999;0
28;2013-07-06;80.6465768881107;0.0;18.9625;8.0;-999.0;-999.0;4.0;1307064.0;5;medium;18.289285714285715;-999;0
